model,difference
"Good evening. How are you? I'm fine, thanks. We're busy.  Good night.  ",1
"In my office, there are a lot of people. There are some desks, some computers and some chairs. There is a kitchen, a meeting room, a few restrooms and a lot of windows.     ",1
"New York City is big and busy. Central Park is beautiful, and the city has a lot of great buildings and restaurants. There are a lot of expensive shops. New York is a great city!   ",1
"My boss is very nice. He's from Beijing, China. He's very tall and has short black hair. He is very hardworking, but very friendly. He always smiles.  ",1
"I always go to small shops. The clothes are beautiful. Small shops are always expensive, but there are a lot of sales. The sales assistants are always friendly. I never shop online. I never go to big department stores.  ",1
"The Fish House has delicious food, and their lunch is not expensive. I really like the fresh fish and salads. The hamburgers are really good, too. Their chocolate cake is awful, but the ice cream isn't bad.  ",1
Hello! My name is Kim. My day is very busy. I get up at 6 o'clock in the morning. I take a train to work. I have a lot of meetings. I usually go home at 7 in the evening.  ,1
"Sorry about the weather, but you're on vacation! You should go shopping. You can go for a walk in the park. How about a movie? There are many good movies now. What about a museum? I love museums. Have fun!  ",1
"Most people in my country love watching football and basketball. In the winter, many people go ice skating and skiing. In the summer, people like playing tennis and golf. Having a picnic, going on hikes and swimming are popular, too.  
",1
I'm Frank. I'm not in good shape. I don't exercise very much. I drive to work. I don't eat very well. I walk in the park once or twice a week.  ,1
My neighborhood is big and busy. There's an Italian restaurant across the street. There's a library and a big department store. There are a lot of good shops and restaurants. There's a coffee shop and a good pizza place. My favorite place is the park. It's on the corner of Elm Street and First Street. I go there every weekend.  ,1
"I share an apartment with two friends. It's a comfortable apartment but a little expensive. The living room is big, and there's a lot of light. The kitchen is small, but it has a new dishwasher and microwave. The bathroom is a little ugly. We pay $2,200 a month, but it's near public transportation, and it's in a nice neighborhood.  ",1
"My Piano and Me      

I'm really into my piano. It's very old and has a beautiful sound. Sometimes my friends come to my house. They enjoy listening to me play. They always ask me to play a new song. I can say beautiful things with piano music.  ",1
"The city of Edinburgh, in Scotland, is about 530 kilometers from London. It’s on the east coast of Scotland, right next to the North Sea. The city has many beautiful, old buildings and a lot of parks. Every summer there is a festival. Many people like to visit Edinburgh in the summer.  ",1
"My favorite hotel is The Pines. It's in the forest. Everything is green and beautiful. It's also close to downtown, about 20 minutes by taxi. The rooms aren't modern, but they are very comfortable. No internet here! The rates are very reasonable, around $100 a night. Oh, and the food in the restaurant is delicious.  ",1
